
Golurk,"['Ground', 'Ghost']",89,124,80,55,80,55
Walrein,"['Ice', 'Water']",110,80,90,95,90,65
Goomy,"['Dragon', '']",45,50,35,55,75,40
Cottonee,"['Grass', 'Fairy']",40,27,60,37,50,66
Heatran,"['Fire', 'Steel']",91,90,106,130,106,77
KangaskhanMega Kangaskhan,"['Normal', '']",105,125,100,60,100,100

Igglybuff,"['Normal', 'Fairy']",90,30,15,40,20,15
PumpkabooAverage Size,"['Ghost', 'Grass']",49,66,70,44,55,51
Primeape,"['Fighting', '']",65,105,60,60,70,95
Vespiquen,"['Bug', 'Flying']",70,80,102,80,102,40
Gliscor,"['Ground', 'Flying']",75,95,125,45,75,95
Grimer,"['Poison', '']",80,80,50,40,50,25
